Metric,Model A (Pre-Only),Model B (Pre+Post)
Accuracy,0.7748388530784619,0.9853300733496333
Macro F1,0.6033045740715085,0.9855102092888102
Fatal Recall,0.6404494382022472,0.9850187265917603
Fatal Precision,0.3275862068965517,0.9962121212121212
